"sector_desc_drc","sector_code","sector_code_uppercase","sector_desc_demand"
"1111a0/fresh soybeans, canola, flaxseeds, and other oilseeds/us","1111a0","1111A0","Fresh soybeans, canola, flaxseeds, and other oilseeds"
"1111b0/fresh wheat, corn, rice, and other grains/us","1111b0","1111B0","Fresh wheat, corn, rice, and other grains"
"111200/fresh vegetables, melons, and potatoes/us","111200","111200","Fresh vegetables, melons, and potatoes"
"111300/fresh fruits and tree nuts/us","111300","111300","Fresh fruits and tree nuts"
"111400/greenhouse crops, mushrooms, nurseries, and flowers/us","111400","111400","Greenhouse crops, mushrooms, nurseries, and flowers"
"111900/tobacco, cotton, sugarcane, peanuts, sugar beets, herbs and spices, and other crops/us","111900","111900","Tobacco, cotton, sugarcane, peanuts, sugar beets, herbs and spices, and other crops"
"112120/dairies/us","112120","112120","Dairies"
"1121a0/cattle ranches and feedlots/us","1121a0","1121A0","Cattle ranches and feedlots"
"112300/poultry farms/us","112300","112300","Poultry farms"
"112a00/animal farms and aquaculture ponds (except cattle and poultry)/us","112a00","112A00","Animal farms and aquaculture ponds (except cattle and poultry)"
"113000/timber and raw forest products/us","113000","113000","Timber and raw forest products"
"114000/wild-caught fish and game/us","114000","114000","Wild-caught fish and game"
"115000/agriculture and forestry support/us","115000","115000","Agriculture and forestry support"
"211000/unrefined oil and gas/us","211000","211000","Unrefined oil and gas"
"212100/coal/us","212100","212100","Coal"
"212230/copper, nickel, lead, and zinc/us","212230","212230","Copper, nickel, lead, and zinc"
"2122a0/iron, gold, silver, and other metal ores/us","2122a0","2122A0","Iron, gold, silver, and other metal ores"
"212310/dimensional stone/us","212310","212310","Dimensional stone"
"2123a0/sand, gravel, clay, phosphate, other nonmetallic minerals/us","2123a0","2123A0","Sand, gravel, clay, phosphate, other nonmetallic minerals"
"213111/well drilling/us","213111","213111","Well drilling"
"21311a/other support activities for mining/us","21311a","21311A","Other support activities for mining"
"221100/electricity/us","221100","221100","Electricity"
"221200/natural gas/us","221200","221200","Natural gas"
"221300/drinking water and wastewater treatment/us","221300","221300","Drinking water and wastewater treatment"
"233210/health care structures/us","233210","233210","Health care structures"
"233262/educational and vocational structures/us","233262","233262","Educational and vocational structures"
"230301/nonresidential maintenance and repair/us","230301","230301","Nonresidential maintenance and repair"
"230302/residential maintenance and repair/us","230302","230302","Residential maintenance and repair"
"2332a0/commercial structures, including farm structures/us","2332a0","2332A0","Commercial structures, including farm structures"
"233412/multifamily residential structures/us","233412","233412","Multifamily residential structures"
"2334a0/other residential structures/us","2334a0","2334A0","Other residential structures"
"233230/manufacturing structures/us","233230","233230","Manufacturing structures"
"2332b0/other nonresidential structures/us","2332b0","2332B0","Other nonresidential structures"
"233240/power and communication structures/us","233240","233240","Power and communication structures"
"233411/single-family residential structures/us","233411","233411","Single-family residential structures"
"233293/highways and streets/us","233293","233293","Highways and streets"
"321100/lumber and treated lumber/us","321100","321100","Lumber and treated lumber"
"321200/plywood and veneer/us","321200","321200","Plywood and veneer"
"321910/wooden windows, door, and flooring/us","321910","321910","Wooden windows, door, and flooring"
"3219a0/veneer, plywood, and engineered wood/us","3219a0","3219A0","Veneer, plywood, and engineered wood"
"327100/clay and ceramic products/us","327100","327100","Clay and ceramic products"
"327200/glass and glass products/us","327200","327200","Glass and glass products"
"327310/cement/us","327310","327310","Cement"
"327320/ready-mix concrete/us","327320","327320","Ready-mix concrete"
"327330/concrete pipe, bricks, and blocks/us","327330","327330","Concrete pipe, bricks, and blocks"
"327390/other concrete products/us","327390","327390","Other concrete products"
"327400/lime and gypsum products/us","327400","327400","Lime and gypsum products"
"327910/abrasive products/us","327910","327910","Abrasive products"
"327991/cut stone and stone products/us","327991","327991","Cut stone and stone products"
"327992/ground or treated minerals and earth/us","327992","327992","Ground or treated minerals and earth"
"327993/mineral wool/us","327993","327993","Mineral wool"
"327999/other nonmetallic mineral products/us","327999","327999","Other nonmetallic mineral products"
"331110/primary iron, steel, and ferroalloy products/us","331110","331110","Primary iron, steel, and ferroalloy products"
"331200/secondary steel products/us","331200","331200","Secondary steel products"
"33131a/aluminum/us","33131a","33131A","Aluminum"
"33131b/aluminum products/us","33131b","33131B","Aluminum products"
"331411/primary copper/us","331411","331411","Primary copper"
"331419/other primary nonferrous metals/us","331419","331419","Other primary nonferrous metals"
"331420/secondary copper products/us","331420","331420","Secondary copper products"
"331490/other secondary nonferrous metal products/us","331490","331490","Other secondary nonferrous metal products"
"331510/cast iron and steel/us","331510","331510","Cast iron and steel"
"331520/nonferrous metal casts/us","331520","331520","Nonferrous metal casts"
"332114/custom metal rolls/us","332114","332114","Custom metal rolls"
"33211a/all other forging, stamping, and sintering/us","33211a","33211A","All other forging, stamping, and sintering"
"33211b/lids, jars, bottle caps, other metal closures and crowns/us","33211b","33211B","Lids, jars, bottle caps, other metal closures and crowns"
"332200/cutlery and handtools/us","332200","332200","Cutlery and handtools"
"332310/metal structural products/us","332310","332310","Metal structural products"
"332320/metal windows, doors, and architectural products/us","332320","332320","Metal windows, doors, and architectural products"
"332410/power boilers and heat exchangers/us","332410","332410","Power boilers and heat exchangers"
"332420/heavy gauge metal tanks/us","332420","332420","Heavy gauge metal tanks"
"332430/light gauge metal cans, boxes, and containers/us","332430","332430","Light gauge metal cans, boxes, and containers"
"332500/metal hinges, keys, lock, and other hardware/us","332500","332500","Metal hinges, keys, lock, and other hardware"
"332600/springs and wires/us","332600","332600","Springs and wires"
"332710/machine shops/us","332710","332710","Machine shops"
"332720/screws, nuts, and bolts/us","332720","332720","Screws, nuts, and bolts"
"332800/metal coatings, engravings, and heat treatments/us","332800","332800","Metal coatings, engravings, and heat treatments"
"332913/metal plumbing drains, faucets, valves, and other fittings/us","332913","332913","Metal plumbing drains, faucets, valves, and other fittings"
"33291a/valve and fittings (except for plumbing)/us","33291a","33291A","Valve and fittings (except for plumbing)"
"332991/ball and roller bearings/us","332991","332991","Ball and roller bearings"
"332996/fabricated pipe and pipe fittings/us","332996","332996","Fabricated pipe and pipe fittings"
"33299a/ammunition, arms, ordnance, and related accessories/us","33299a","33299A","Ammunition, arms, ordnance, and related accessories"
"33299b/metal pipe fittings, ball and roller bearings, industrial patterns, metal bath fixtures, other misc. fabricated metals/us","33299b","33299B","Metal pipe fittings, ball and roller bearings, industrial patterns, metal bath fixtures, other misc. fabricated metals"
"333111/farm machinery and equipment/us","333111","333111","Farm machinery and equipment"
"333112/lawn and garden equipment/us","333112","333112","Lawn and garden equipment"
"333120/construction machinery/us","333120","333120","Construction machinery"
"333130/mining and oil/gas field machinery/us","333130","333130","Mining and oil/gas field machinery"
"333295/semiconductor machinery/us","333295","333295","Semiconductor machinery"
"333220/plastics and rubber industry machinery/us","333220","333220","Plastics and rubber industry machinery"
"33329a/machinery for the paper, textile, food or other industries (except semiconductor machinery)/us","33329a","33329A","Machinery for the paper, textile, food or other industries (except semiconductor machinery)"
"333314/optical instruments and lenses/us","333314","333314","Optical instruments and lenses"
"333315/photography and photocopying equipment/us","333315","333315","Photography and photocopying equipment"
"33331a/vending, commercial laundry, and other commercial and service industry machinery/us","33331a","33331A","Vending, commercial laundry, and other commercial and service industry machinery"
"333313/office machinery/us","333313","333313","Office machinery"
"333414/heating equipment other than warm air furnaces/us","333414","333414","Heating equipment other than warm air furnaces"
"333415/air conditioning, refrigeration, and warm air heating equipment/us","333415","333415","Air conditioning, refrigeration, and warm air heating equipment"
"33341a/air purification and ventilation equipment/us","33341a","33341A","Air purification and ventilation equipment"
"333511/industrial molds/us","333511","333511","Industrial molds"
"333514/special tools, dies, jigs, and fixtures/us","333514","333514","Special tools, dies, jigs, and fixtures"
"33351a/metal cutting and forming machine tools/us","33351a","33351A","Metal cutting and forming machine tools"
"33351b/cutting and machine tool accessory, rolling mill, and other metalworking machines/us","33351b","33351B","Cutting and machine tool accessory, rolling mill, and other metalworking machines"
"333611/turbines and turbine generator sets/us","333611","333611","Turbines and turbine generator sets"
"333612/speed changers, industrial high-speed drives, and gears/us","333612","333612","Speed changers, industrial high-speed drives, and gears"
"333613/mechanical power transmission equipment/us","333613","333613","Mechanical power transmission equipment"
"333618/other engine equipment/us","333618","333618","Other engine equipment"
"333912/air and gas compressors/us","333912","333912","Air and gas compressors"
"33391a/pumps and pumping equipment/us","33391a","33391A","Pumps and pumping equipment"
"333920/material handling equipment/us","333920","333920","Material handling equipment"
"333991/power tools/us","333991","333991","Power tools"
"333993/packaging machinery/us","333993","333993","Packaging machinery"
"333994/industrial process furnaces and ovens/us","333994","333994","Industrial process furnaces and ovens"
"33399a/welding and soldering equipment, scales and balances, and other general purpose machinery/us","33399a","33399A","Welding and Soldering Equipment, Scales and Balances, and other general purpose machinery"
"33399b/hydraulic pumps, motors, cylinders and actuators/us","33399b","33399B","Hydraulic pumps, motors, cylinders and actuators"
"334111/computers/us","334111","334111","Computers"
"334112/computer storage device readers/us","334112","334112","Computer storage device readers"
"33411a/computer terminals and other computer peripheral equipment/us","33411a","33411A","Computer terminals and other computer peripheral equipment"
"334210/telephones/us","334210","334210","Telephones"
"334220/wireless communications/us","334220","334220","Wireless communications"
"334290/communications equipment/us","334290","334290","Communications equipment"
"334413/semiconductors/us","334413","334413","Semiconductors"
"334418/printed circuit and electronic assembly/us","334418","334418","Printed circuit and electronic assembly"
"33441a/electronic capacitors, resistors, coils, transformers, connectors and other components (except  semiconductors and printed circuit assemblies)/us","33441a","33441A","Electronic capacitors, resistors, coils, transformers, connectors and other components (except  semiconductors and printed circuit assemblies)"
"334510/electromedical appartuses/us","334510","334510","Electromedical appartuses"
"334511/navigation instruments/us","334511","334511","Navigation instruments"
"334512/automatic controls for hvac and refrigeration equipment/us","334512","334512","Automatic controls for HVAC and refrigeration equipment"
"334513/industrial process variable instruments/us","334513","334513","Industrial process variable instruments"
"334514/fluid meters and counting devices/us","334514","334514","Fluid meters and counting devices"
"334515/signal testing instruments/us","334515","334515","Signal testing instruments"
"334516/analytical laboratory instruments/us","334516","334516","Analytical laboratory instruments"
"334517/irradiation apparatuses/us","334517","334517","Irradiation apparatuses"
"33451a/watches, clocks, and other measuring and controlling devices/us","33451a","33451A","Watches, clocks, and other measuring and controlling devices"
"334300/audio and video equipment/us","334300","334300","Audio and video equipment"
"334610/external hard drives, cds, other storage media/us","334610","334610","External hard drives, CDs, other storage media"
"335110/light bulbs/us","335110","335110","Light bulbs"
"335120/light fixtures/us","335120","335120","Light fixtures"
"335210/small electrical appliances/us","335210","335210","Small electrical appliances"
"335221/home cooking appliances/us","335221","335221","Home cooking appliances"
"335222/home refrigerators and freezers/us","335222","335222","Home refrigerators and freezers"
"335224/home laundry machines/us","335224","335224","Home laundry machines"
"335228/major home appliances (except ovens, stoves, refrigerators and laundry machines)/us","335228","335228","Major home appliances (except ovens, stoves, refrigerators and laundry machines)"
"335311/specialty transformers/us","335311","335311","Specialty transformers"
"335312/motors and generators/us","335312","335312","Motors and generators"
"335313/switchgear and switchboards/us","335313","335313","Switchgear and switchboards"
"335314/relay and industrial controls/us","335314","335314","Relay and industrial controls"
"335911/storage batteries/us","335911","335911","Storage batteries"
"335912/primary batteries/us","335912","335912","Primary batteries"
"335920/communication and energy wire and cable/us","335920","335920","Communication and energy wire and cable"
"335930/wiring devices/us","335930","335930","Wiring devices"
"335991/carbon and graphite products/us","335991","335991","Carbon and graphite products"
"335999/other miscellaneous electrical equipment and components/us","335999","335999","other miscellaneous electrical equipment and components"
"336111/automobiles/us","336111","336111","Automobiles"
"336112/pickup trucks, vans, and suvs/us","336112","336112","Pickup trucks, vans, and SUVs"
"336120/heavy duty trucks/us","336120","336120","Heavy duty trucks"
"336211/vehicle bodies/us","336211","336211","Vehicle bodies"
"336212/truck trailers/us","336212","336212","Truck trailers"
"336213/motor homes/us","336213","336213","Motor homes"
"336214/travel trailer and campers/us","336214","336214","Travel trailer and campers"
"336310/vehicle engines and engine parts/us","336310","336310","Vehicle engines and engine parts"
"336320/vehicle electrical and electronic equipment/us","336320","336320","Vehicle electrical and electronic equipment"
"336350/transmission and power train parts/us","336350","336350","Transmission and power train parts"
"336360/vehicle seating and interior trim (upholstery)/us","336360","336360","Vehicle seating and interior trim (upholstery)"
"336370/vehicle metal stamping/us","336370","336370","Vehicle metal stamping"
"336390/other vehicle parts/us","336390","336390","Other vehicle parts"
"3363a0/motor vehicle steering, suspension components (except spring), and brake systems/us","3363a0","3363A0","Motor vehicle steering, suspension components (except spring), and brake systems"
"336411/aircraft/us","336411","336411","Aircraft"
"336412/aircraft engines and parts/us","336412","336412","Aircraft engines and parts"
"336413/other aircraft parts/us","336413","336413","Other aircraft parts"
"336414/guided missiles and space vehicles/us","336414","336414","Guided missiles and space vehicles"
"33641a/propulsion units and parts for space vehicles and guided missiles/us","33641a","33641A","Propulsion units and parts for space vehicles and guided missiles"
"336500/railroad rolling stock/us","336500","336500","Railroad rolling stock"
"336611/ships and ship repair/us","336611","336611","Ships and ship repair"
"336612/boats/us","336612","336612","Boats"
"336991/motorcycle, bicycle, and parts/us","336991","336991","Motorcycle, bicycle, and parts"
"336992/military armored vehicles and tanks/us","336992","336992","Military armored vehicles and tanks"
"336999/other transportation equipment/us","336999","336999","Other transportation equipment"
"337110/wood kitchen cabinets and countertops/us","337110","337110","Wood kitchen cabinets and countertops"
"337121/home furniture - upholstered/us","337121","337121","Home furniture - upholstered"
"337122/home furniture - wood, nonupholstered/us","337122","337122","Home furniture - wood, nonupholstered"
"337127/institutional furniture/us","337127","337127","Institutional furniture"
"33712a/home furniture - cabinets and non-wood, nonupholstered/us","33712a","33712A","Home furniture - Cabinets and non-wood, nonupholstered"
"337215/shelving and lockers/us","337215","337215","Shelving and lockers"
"33721a/office furniture and custom architectural woodwork and millwork/us","33721a","33721A","Office furniture and custom architectural woodwork and millwork"
"337900/mattresses, blinds and shades/us","337900","337900","Mattresses, blinds and shades"
"339112/surgical and medical instruments/us","339112","339112","Surgical and medical instruments"
"339113/surgical appliance and supplies/us","339113","339113","Surgical appliance and supplies"
"339114/dental equipment and supplies/us","339114","339114","Dental equipment and supplies"
"339115/ophthalmic goods/us","339115","339115","Ophthalmic goods"
"339116/dental laboratories/us","339116","339116","Dental laboratories"
"339910/jewelry and silverware/us","339910","339910","Jewelry and silverware"
"339920/sporting and athletic goods/us","339920","339920","Sporting and athletic goods"
"339930/dolls, toys, and games/us","339930","339930","Dolls, toys, and games"
"339940/office supplies (not paper)/us","339940","339940","Office supplies (not paper)"
"339950/signs/us","339950","339950","Signs"
"339990/gaskets, seals, musical instruments, fasteners, brooms, brushes, mop and other misc. goods/us","339990","339990","Gaskets, seals, musical instruments, fasteners, brooms, brushes, mop and other misc. goods"
"311111/dog and cat food/us","311111","311111","Dog and cat food"
"311119/other animal food/us","311119","311119","Other animal food"
"311210/flours and malts/us","311210","311210","Flours and malts"
"311221/corn products/us","311221","311221","Corn products"
"311225/refined vegetable, olive, and seed oils/us","311225","311225","Refined vegetable, olive, and seed oils"
"31122a/vegetable oils and by-products/us","31122a","31122A","Vegetable oils and by-products"
"311230/breakfast cereals/us","311230","311230","Breakfast cereals"
"311300/sugar, candy, and chocolate/us","311300","311300","Sugar, candy, and chocolate"
"311410/frozen food/us","311410","311410","Frozen food"
"311420/fruit and vegetable preservation/us","311420","311420","Fruit and vegetable preservation"
"311513/cheese/us","311513","311513","Cheese"
"311514/dry, condensed, and evaporated dairy/us","311514","311514","Dry, condensed, and evaporated dairy"
"31151a/fluid milk and butter/us","31151a","31151A","Fluid milk and butter"
"311520/ice cream and frozen desserts/us","311520","311520","Ice cream and frozen desserts"
"311615/packaged poultry/us","311615","311615","Packaged poultry"
"31161a/packaged meat (except poultry)/us","31161a","31161A","Packaged meat (except poultry)"
"311700/seafood/us","311700","311700","Seafood"
"311810/bread and other baked goods/us","311810","311810","Bread and other baked goods"
"3118a0/cookies, crackers, pastas, and tortillas/us","3118a0","3118A0","Cookies, crackers, pastas, and tortillas"
"311910/snack foods/us","311910","311910","Snack foods"
"311920/coffee and tea/us","311920","311920","Coffee and tea"
"311930/flavored drink concentrates/us","311930","311930","Flavored drink concentrates"
"311940/seasonings and dressings/us","311940","311940","Seasonings and dressings"
"311990/all other foods/us","311990","311990","All other foods"
"312110/soft drinks, bottled water, and ice/us","312110","312110","Soft drinks, bottled water, and ice"
"312120/breweries and beer/us","312120","312120","Breweries and beer"
"312130/wineries and wine/us","312130","312130","Wineries and wine"
"312140/distilleries and spirits/us","312140","312140","Distilleries and spirits"
"312200/tobacco products/us","312200","312200","Tobacco products"
"313100/fiber, yarn, and thread/us","313100","313100","Fiber, yarn, and thread"
"313200/fabric/us","313200","313200","Fabric"
"313300/finished and coated fabric/us","313300","313300","Finished and coated fabric"
"314110/carpets and rugs/us","314110","314110","Carpets and rugs"
"314120/curtains and linens/us","314120","314120","Curtains and linens"
"314900/other textiles/us","314900","314900","Other textiles"
"315000/clothing/us","315000","315000","Clothing"
"316000/leather/us","316000","316000","Leather"
"322110/wood pulp/us","322110","322110","Wood pulp"
"322120/paper/us","322120","322120","Paper"
"322130/cardboard/us","322130","322130","Cardboard"
"322210/cardboard containers/us","322210","322210","Cardboard containers"
"322220/paper bags and coated paper/us","322220","322220","Paper bags and coated paper"
"322230/stationery/us","322230","322230","Stationery"
"322291/sanitary paper (tissues, napkins, diapers, etc.)/us","322291","322291","Sanitary paper (tissues, napkins, diapers, etc.)"
"322299/all other converted paper products/us","322299","322299","All other converted paper products"
"323110/books, newspapers, magazines, and other print media/us","323110","323110","Books, newspapers, magazines, and other print media"
"323120/printing support/us","323120","323120","Printing support"
"324110/gasoline, fuels, and by-products of petroleum refining/us","324110","324110","Gasoline, fuels, and by-products of petroleum refining"
"324121/asphalt pavement/us","324121","324121","Asphalt pavement"
"324122/asphalt shingles/us","324122","324122","Asphalt shingles"
"324190/other petroleum and coal products/us","324190","324190","Other petroleum and coal products"
"325110/petrochemicals/us","325110","325110","Petrochemicals"
"325120/compressed gases/us","325120","325120","Compressed Gases"
"325130/synthetic dyes and pigments/us","325130","325130","Synthetic dyes and pigments"
"325180/other basic inorganic chemicals/us","325180","325180","Other basic inorganic chemicals"
"325190/other basic organic chemicals/us","325190","325190","Other basic organic chemicals"
"325211/plastics/us","325211","325211","Plastics"
"3252a0/synthetic rubber and artificial and synthetic fibers/us","3252a0","3252A0","Synthetic rubber and artificial and synthetic fibers"
"325411/medicinal and botanical ingredients/us","325411","325411","Medicinal and botanical ingredients"
"325412/pharmaceutical products (pills, powders, solutions, etc.)/us","325412","325412","Pharmaceutical products (pills, powders, solutions, etc.)"
"325413/blood sugar, pregnancy, and other diagnostic test kits/us","325413","325413","Blood sugar, pregnancy, and other diagnostic test kits"
"325414/vaccines and other biological medical products/us","325414","325414","Vaccines and other biological medical products"
"325310/fertilizers/us","325310","325310","Fertilizers"
"325320/pesticides/us","325320","325320","Pesticides"
"325510/paints and coatings/us","325510","325510","Paints and coatings"
"325520/adhesives/us","325520","325520","Adhesives"
"325610/soap and cleaning compounds/us","325610","325610","Soap and cleaning compounds"
"325620/toiletries/us","325620","325620","Toiletries"
"325910/ink and ink cartridges/us","325910","325910","Ink and ink cartridges"
"3259a0/chemicals (except basic chemicals, agrichemicals, polymers, paints, pharmaceuticals,soaps, cleaning compounds)/us","3259a0","3259A0","Chemicals (except basic chemicals, agrichemicals, polymers, paints, pharmaceuticals,soaps, cleaning compounds)"
"326110/plastic bags, films, and sheets/us","326110","326110","Plastic bags, films, and sheets"
"326120/plastic pipe, fittings, and sausage casings/us","326120","326120","Plastic pipe, fittings, and sausage casings"
"326130/laminated plastic plates and shapes/us","326130","326130","Laminated plastic plates and shapes"
"326140/polystyrene foam products/us","326140","326140","Polystyrene foam products"
"326150/urethane and other foam products/us","326150","326150","Urethane and other foam products"
"326160/plastic bottles/us","326160","326160","Plastic bottles"
"326190/other plastic products/us","326190","326190","Other plastic products"
"326210/rubber tires/us","326210","326210","Rubber tires"
"326220/rubber and plastic belts and hoses/us","326220","326220","Rubber and plastic belts and hoses"
"326290/other rubber products/us","326290","326290","Other rubber products"
"420000/wholesale trade/us","420000","420000","Wholesale trade"
"441000/vehicles and parts sales/us","441000","441000","Vehicles and parts sales"
"445000/food and beverage stores/us","445000","445000","Food and beverage stores"
"452000/general merchandise stores/us","452000","452000","General merchandise stores"
"4a0000/other retail/us","4a0000","4A0000","Other retail"
"481000/air transport/us","481000","481000","Air transport"
"482000/rail transport/us","482000","482000","Rail transport"
"483000/water transport (boats, ships, ferries)/us","483000","483000","Water transport (boats, ships, ferries)"
"484000/truck transport/us","484000","484000","Truck transport"
"485000/passenger ground transport/us","485000","485000","Passenger ground transport"
"486000/pipeline transport/us","486000","486000","Pipeline transport"
"48a000/scenic and sightseeing transportation and support activities for transportation/us","48a000","48A000","Scenic and sightseeing transportation and support activities for transportation"
"492000/couriers and messengers/us","492000","492000","Couriers and messengers"
"493000/warehousing/us","493000","493000","Warehousing"
"511110/newspapers/us","511110","511110","Newspapers"
"511120/magazines and journals/us","511120","511120","Magazines and journals"
"511130/books/us","511130","511130","Books"
"5111a0/directory, mailing list, and other publishers/us","5111a0","5111A0","Directory, mailing list, and other publishers"
"511200/software/us","511200","511200","Software"
"512100/movies and film/us","512100","512100","Movies and film"
"512200/sound recording/us","512200","512200","Sound recording"
"515100/radio and television/us","515100","515100","Radio and television"
"515200/cable and subscription programming/us","515200","515200","Cable and subscription programming"
"517110/telecommunications/us","517110","517110","Telecommunications"
"517210/wireless telecommunications/us","517210","517210","Wireless telecommunications"
"517a00/satellite, telecommunications resellers, and all other telecommunications/us","517a00","517A00","Satellite, telecommunications resellers, and all other telecommunications"
"518200/data processing and hosting/us","518200","518200","Data processing and hosting"
"519130/internet publishing and broadcasting/us","519130","519130","Internet publishing and broadcasting"
"5191a0/news syndicates, libraries, archives, internet publishing and all other information services/us","5191a0","5191A0","News syndicates, libraries, archives, Internet publishing and all other information services"
"522a00/nondepository credit intermediation and related activities/us","522a00","522A00","Nondepository credit intermediation and related activities"
"52a000/monetary authorities and depository credit intermediation/us","52a000","52A000","Monetary authorities and depository credit intermediation"
"523900/investment advice, portfolio management, and other financial advising services/us","523900","523900","Investment advice, portfolio management, and other financial advising services"
"523a00/securities and commodities brokerage and exchanges/us","523a00","523A00","Securities and commodities brokerage and exchanges"
"524100/insurance carriers/us","524100","524100","Insurance carriers"
"524200/insurance agencies and brokerages/us","524200","524200","Insurance agencies and brokerages"
"525000/funds, trusts, and financial vehicles/us","525000","525000","Funds, trusts, and financial vehicles"
"5310hs/housing/us","5310hs","5310HS","Housing"
"531ore/other real estate/us","531ore","531ORE","Other real estate"
"532100/vehicle rental and leasing/us","532100","532100","Vehicle rental and leasing"
"532400/commercial equipment rental/us","532400","532400","Commercial equipment rental"
"532a00/consumer goods and general rental centers/us","532a00","532A00","Consumer goods and general rental centers"
"533000/lessors of nonfinancial intangible assets/us","533000","533000","Lessors of nonfinancial intangible assets"
"541100/legal services/us","541100","541100","Legal services"
"541511/custom computer programming/us","541511","541511","Custom computer programming"
"541512/computer systems design/us","541512","541512","Computer systems design"
"54151a/other computer related services, including facilities management/us","54151a","54151A","Other computer related services, including facilities management"
"541200/accounting, tax preparation, bookkeeping, and payroll/us","541200","541200","Accounting, tax preparation, bookkeeping, and payroll"
"541300/architectural, engineering, and related services/us","541300","541300","Architectural, engineering, and related services"
"541610/management consulting/us","541610","541610","Management consulting"
"5416a0/environmental and other technical consulting services/us","5416a0","5416A0","Environmental and other technical consulting services"
"541700/scientific research and development/us","541700","541700","Scientific research and development"
"541800/advertising and public relations/us","541800","541800","Advertising and public relations"
"541400/specialized design/us","541400","541400","Specialized design"
"541920/photographers/us","541920","541920","Photographers"
"541940/veterinarians/us","541940","541940","Veterinarians"
"5419a0/marketing research and all other miscellaneous professional, scientific, and technical services/us","5419a0","5419A0","Marketing research and all other miscellaneous professional, scientific, and technical services"
"550000/company and enterprise management/us","550000","550000","Company and enterprise management"
"561300/employment services/us","561300","561300","Employment services"
"561700/buildings and dwellings services/us","561700","561700","Buildings and dwellings services"
"561100/office administration/us","561100","561100","Office administration"
"561200/facilities support/us","561200","561200","Facilities support"
"561400/business support/us","561400","561400","Business support"
"561500/travel arrangement and reservation/us","561500","561500","Travel arrangement and reservation"
"561600/investigation and security/us","561600","561600","Investigation and security"
"561900/other support services/us","561900","561900","Other support services"
"562000/waste management and remediation/us","562000","562000","Waste management and remediation"
"611100/elementary and secondary schools/us","611100","611100","Elementary and secondary schools"
"611a00/colleges, universities, junior colleges, and professional schools/us","611a00","611A00","Colleges, universities, junior colleges, and professional schools"
"611b00/other educational services/us","611b00","611B00","Other educational services"
"621100/physicians/us","621100","621100","Physicians"
"621200/dentists/us","621200","621200","Dentists"
"621300/healthcare practitioners (except physicians and dentists)/us","621300","621300","Healthcare practitioners (except physicians and dentists)"
"621400/outpatient healthcare/us","621400","621400","Outpatient healthcare"
"621500/medical laboratories/us","621500","621500","Medical laboratories"
"621600/home healthcare/us","621600","621600","Home healthcare"
"621900/ambulances/us","621900","621900","Ambulances"
"622000/hospitals/us","622000","622000","Hospitals"
"623a00/nursing and community care facilities/us","623a00","623A00","Nursing and community care facilities"
"623b00/residential mental retardation, mental health, substance abuse and other facilities/us","623b00","623B00","Residential mental retardation, mental health, substance abuse and other facilities"
"624100/individual and family services/us","624100","624100","Individual and family services"
"624400/child day care/us","624400","624400","Child day care"
"624a00/community food, housing, and other relief services, including rehabilitation services/us","624a00","624A00","Community food, housing, and other relief services, including rehabilitation services"
"711100/performances/us","711100","711100","Performances"
"711200/sports/us","711200","711200","Sports"
"711500/independent artists, writers, and performers/us","711500","711500","Independent artists, writers, and performers"
"711a00/promoters and agents/us","711a00","711A00","Promoters and agents"
"712000/museums, historical sites, zoos, and parks/us","712000","712000","Museums, historical sites, zoos, and parks"
"713100/amusement parks and arcades/us","713100","713100","Amusement parks and arcades"
"713200/gambling establishments (except casino hotels)/us","713200","713200","Gambling establishments (except casino hotels)"
"713900/golf courses, marinas, ski resorts, fitness and other rec centers and industries/us","713900","713900","Golf courses, marinas, ski resorts, fitness and other rec centers and industries"
"721000/hotels and campgrounds/us","721000","721000","Hotels and campgrounds"
"722110/full-service restaurants/us","722110","722110","Full-service restaurants"
"722211/limited-service restaurants/us","722211","722211","Limited-service restaurants"
"722a00/all other food and drinking places/us","722a00","722A00","All other food and drinking places"
"811100/vehicle repair/us","811100","811100","Vehicle repair"
"811200/electronic  equipment repair and maintenance/us","811200","811200","Electronic  equipment repair and maintenance"
"811300/commercial machinery repair/us","811300","811300","Commercial machinery repair"
"811400/household goods repair/us","811400","811400","Household goods repair"
"812100/salons and barber shops/us","812100","812100","Salons and barber shops"
"812200/funerary services/us","812200","812200","Funerary services"
"812300/dry-cleaning and laundry/us","812300","812300","Dry-cleaning and laundry"
"812900/pet care, photofinishing, parking and other sundry services/us","812900","812900","Pet care, photofinishing, parking and other sundry services"
"813100/religious organizations/us","813100","813100","Religious organizations"
"813a00/grantmaking, giving, and social advocacy organizations/us","813a00","813A00","Grantmaking, giving, and social advocacy organizations"
"813b00/civic, social, professional, and similar organizations/us","813b00","813B00","Civic, social, professional, and similar organizations"
"814000/household employees/us","814000","814000","Household employees"
"s00500/federal general government (defense)/us","s00500","S00500","Federal general government (defense)"
"s00600/federal general government (nondefense)/us","s00600","S00600","Federal general government (nondefense)"
"491000/postal service/us","491000","491000","Postal service"
"s00102/other federal government enterprises/us","s00102","S00102","Other federal government enterprises"
"s00700/state and local general government/us","s00700","S00700","State and local general government"
"s00203/other state and local government enterprises/us","s00203","S00203","Other state and local government enterprises"
"s00402/used and secondhand goods/us","s00402","S00402","Used and secondhand goods"
"s00300/noncomparable imports/us","s00300","S00300","Noncomparable imports"
"s00900/rest of the world adjustment/us","s00900","S00900","Rest of the world adjustment"
